time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_05 16:50:54,50,0.21719453705023847,0.10950113424360566,0.4144508881396524,128,6400,84.24090000000001,6400
2022_09_05 17:15:22,100,0.2014115448309331,0.18501129276337264,0.4144508881396524,128,12800,78.48089999999999,12800
2022_09_05 17:39:48,150,0.29193366273850063,0.37806602340946216,0.4866630033594171,128,19200,72.7209,19200
2022_09_05 18:04:22,200,0.2843864893592401,0.23276028190377684,0.5199754210860091,128,25600,66.96090000000001,25600
2022_09_05 18:28:57,250,0.30599668317549494,0.3694275967953544,0.5199754210860091,128,32000,61.200900000000004,32000
2022_09_05 18:53:24,300,0.3279428455554458,0.13533267812289984,0.5703761455739942,128,38400,55.44089999999999,38400
2022_09_05 19:18:19,350,0.3311290502902497,0.638852243343144,0.638852243343144,128,44800,49.6809,44800
2022_09_05 19:43:18,400,0.27423474351078997,0.613918266342823,0.6736437092585322,128,51200,43.92090000000001,51200
2022_09_05 20:08:27,450,0.7278031947183562,0.7100428896501276,0.7126130391757363,128,57600,38.160900000000005,57600
2022_09_05 20:33:27,500,0.5148987630124271,0.6850670208805685,0.733720420850248,128,64000,32.40090000000001,64000
2022_09_05 20:58:46,550,0.46366906358143023,0.6474276431938681,0.7492178435210567,128,70400,26.640900000000002,70400
2022_09_05 21:24:05,600,0.35295204002700226,0.6539399232603449,0.7539692889544299,128,76800,20.880900000000004,76800
2022_09_05 21:48:55,650,0.45645446399530076,0.6448281381103895,0.7831423349978163,128,83200,15.1209,83200
2022_09_05 22:13:27,700,0.5176600167297039,0.6918729173472925,0.7831423349978163,128,89600,9.360900000000004,89600
2022_09_05 22:37:33,750,0.45196914030999785,0.6563804781583291,0.7831423349978163,128,96000,3.6008999999999993,96000
2022_09_05 23:01:14,800,0.45456453508640343,0.7368974451308683,0.7831423349978163,128,100000,1.0,102400
2022_09_05 23:24:43,850,0.3396965265493187,0.7305907896861706,0.7831423349978163,128,100000,1.0,108800
2022_09_05 23:48:19,900,0.568842437204093,0.7024959660522014,0.7831423349978163,128,100000,1.0,115200
2022_09_06 00:11:51,950,0.4952176174537344,0.6357024800783873,0.7831423349978163,128,100000,1.0,121600
2022_09_06 00:35:31,1000,0.32490671440901453,0.7253431954018761,0.7831423349978163,128,100000,1.0,128000
2022_09_06 00:58:54,1050,0.6122154655052694,0.5908109282034657,0.7831423349978163,128,100000,1.0,134400
2022_09_06 01:22:32,1100,0.5648280168247857,0.5794035640418249,0.7831423349978163,128,100000,1.0,140800
2022_09_06 01:46:17,1150,0.30803713282167977,0.5431663952781014,0.7831423349978163,128,100000,1.0,147200
2022_09_06 02:09:42,1200,0.6516453737206885,0.6438017918868232,0.7831423349978163,128,100000,1.0,153600
2022_09_06 02:33:16,1250,0.5604668817525648,0.5570899127604538,0.7831423349978163,128,100000,1.0,160000
2022_09_06 02:56:52,1300,0.4218951290001424,0.7010137012606072,0.7831423349978163,128,100000,1.0,166400
2022_09_06 03:20:19,1350,0.44671530331729614,0.5984219400266428,0.7831423349978163,128,100000,1.0,172800
2022_09_06 03:44:00,1400,0.5671763020294249,0.6573612591650948,0.7831423349978163,128,100000,1.0,179200
2022_09_06 04:07:51,1450,0.5371537785071433,0.6224745368842306,0.7831423349978163,128,100000,1.0,185600
2022_09_06 04:31:26,1500,0.6261823825716321,0.6037961990079178,0.7831423349978163,128,100000,1.0,192000
2022_09_06 04:55:19,1550,0.26419492723729743,0.44299532474048636,0.7831423349978163,128,100000,1.0,198400
